trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-214.36025903518092,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,5,-95.67296265209227,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-88.72790851003097,"{0: 23, 1: 6, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-151.299779875557,"{0: 21, 1: 3, 2: 8, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,1,-126.19152069289034,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-44.74478363478536,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-100.98265211089841,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-91.00254809787138,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-66.43757996312443,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,1,1.6903003215943486,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,2,9.076068824344404,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-67.04823037676854,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-8.612797717983797,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,2,-92.78027380119777,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-25.1266353531772,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-53.00621228953436,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,13,-52.34765820637081,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,23.402527719033763,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,26.251997874131046,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,17,1.7312935271374281,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,24.394714807794927,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",35,15,34.58328833788859,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,0,-16.213950311298355,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,13,29.580410750268644,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,2,32.116767022510714,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,16,17.22521591050128,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,16,7.171768068502636,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,12.467904932424066,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,0,-10.49170172491004,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,6,12.379054553130834,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
