trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",25,0,-156.78640710362112,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",20,0,-134.01519431111518,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",20,0,-53.268334115827706,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-53.215177755243815,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999998}",25,0,-215.90222921555537,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639998}",30,0,-129.02008166962423,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467198}",20,0,-130.8201995989535,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817854}",30,0,-183.8051402473963,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.8337477621301497}",30,0,-80.0602629153554,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",30,0,-195.4845349579764,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.8007313507497957}",25,0,-122.24353082608131,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",25,0,-83.49896636584042,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",25,0,-114.85166711107044,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",20,0,-108.57299442009112,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.7385691026454037}",20,0,-52.81500613069191,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,0,-111.60431906066769,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",20,0,-89.9620402370939,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,0,-128.73893749538962,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",25,1,-55.69653198670547,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",20,0,-40.9671402952805,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",20,0,-40.98606897619546,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,18,-6.308779656161777,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.6283472821521205}",25,0,-32.045591972218496,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",35,2,-19.514163144771068,"{0: 26, 1: 3, 2: 4, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.6034647297788965}",20,1,-45.8397584033771,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.5913954351833186}",30,23,4.524966950573621,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",30,16,-25.97306665353616,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,0,-38.38448502446648,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.5566166524310581}",30,9,-70.67077223012782,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.5454843193824369}",20,0,2.0123992977052367,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.5345746329947881}",20,0,-22.25371908507288,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.5238831403348924}",20,8,1.4592839388581507,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.5134054775281945}",25,14,-19.190236046115032,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.5031373679776306}",20,0,-40.131631202613114,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.493074620618078}",20,0,-143.5599032074196,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.48321312820571644}",25,0,-4.788397692123789,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.4735488656416021}",20,0,-103.18111424715784,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.46407788832877006}",20,0,-38.445974252377205,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.45479633056219465}",30,13,-55.28467128150279,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.44570040395095073}",25,10,-49.56188296502523,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.4367863958719317}",30,2,-25.918268600235415,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.42805066795449304}",20,10,5.986429093206866,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.41948965459540316}",25,0,-21.70308293854162,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.4110998615034951}",20,0,-99.78940932747011,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.4028778642734252}",25,0,-38.1303855267182,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.39482030698795667}",30,20,-17.145680883578358,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.38692390084819756}",20,0,14.548882566211631,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.3791854228312336}",30,19,-31.624710291051912,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.37160171437460887}",30,17,-20.911770908816024,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.3641696800871167}",35,0,-78.45501108708181,"{0: 28, 1: 2, 2: 2, 3: 2, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.35688628648537435}",25,14,-1.1980678682540307,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.34974856075566685}",20,8,12.914176191077537,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.3427535895405535}",25,0,-89.36266198053889,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.33589851774974244}",20,9,-69.65132808939717,"{0: 6, 1: 2, 2: 1, 3: 1, 4: 1}",1
55,False,"{'a': 0.5, 'e': 0.3291805473947476}",25,12,24.758367473987526,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.32259693644685267}",20,8,18.81637790205223,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.3161449977179156}",30,13,28.876186850127432,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.3098220977635573}",20,0,-64.29266986841976,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.30362565580828615}",25,6,26.99754905825927,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.2975531426921204}",20,11,16.56136147614614,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.291602079838278}",20,6,-42.043700666152205,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.2857700382415124}",30,7,-26.28386283769813,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.2800546374766822}",25,11,5.271169897924345,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.27445354472714856}",25,0,11.922381904316167,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,13,12.324425723976695,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.26358518435595346}",20,13,-8.759645885348185,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.25831348066883436}",20,16,7.013937333991811,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.2531472110554577}",30,0,-16.365557161555785,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.24808426683434853}",20,7,17.61653719082868,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.24312258149766156}",20,13,12.69518515053575,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.2382601298677083}",20,2,-28.151023303332366,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.23349492727035415}",25,15,-35.04692279596783,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.22882502872494706}",25,1,-7.267242915591828,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.22424852815044813}",20,9,16.69913369415718,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.21976355758743915}",25,6,17.6319581012237,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21536828643569036}",20,0,25.66715067903722,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.21106092070697655}",20,0,-24.090380066172372,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.20683970229283702}",30,13,-19.74285117209262,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.20270290824698028}",20,11,4.747259281050253,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
