trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.98}",20,0,-116.28421796928251,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9603999999999999}",25,0,-114.8643349202429,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9411919999999999}",30,0,-78.40888924790639,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-86.66141952504037,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9039207967999998}",25,0,-78.38692334148345,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.8858423808639998}",20,0,-67.79086685723033,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.8681255332467198}",30,0,-141.7115074215529,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.8507630225817854}",30,0,-113.84689840127555,"{0: 22, 1: 4, 2: 0, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.8337477621301497}",25,20,9.316729940312321,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.8170728068875467}",20,0,-84.86381139257003,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8007313507497957}",25,0,-35.524276222250045,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.7847167237347998}",30,0,-219.15139328967453,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.7690223892601038}",25,0,-98.36860970876273,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.7536419414749017}",20,0,-100.89443770970604,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7385691026454037}",20,0,-84.4616915675992,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.7237977205924956}",20,0,-38.22357128734517,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.7093217661806457}",30,0,-87.28141499564776,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,2,-80.07634020310913,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,0,-51.605156656088596,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.6676079717550942}",20,0,-32.43990672545138,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.6542558123199923}",20,0,-69.85346513399207,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.6411706960735924}",35,0,-120.86381459988884,"{0: 21, 1: 4, 2: 7, 3: 3, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.6283472821521205}",20,0,-138.69079100284247,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.6157803365090782}",20,0,-93.65893309468748,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.6034647297788965}",25,0,-145.2456202389567,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.5913954351833186}",30,2,-176.32371099929955,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 4}",1
27,False,"{'a': 0.5, 'e': 0.5795675264796523}",20,10,-42.667292452054575,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 1}",1
