trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.67511836401428,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-31.011498981864786,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.94729457668696,"{0: 16, 1: 3, 2: 3, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.84161393390244,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,2,-145.40720782866254,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.15032827043231,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,2,-182.21789215300993,"{0: 8, 1: 3, 2: 2, 3: 2, 4: 3}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.0546174301113,"{0: 10, 1: 6, 2: 1, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.280327930124859,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-139.04297337197767,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-67.36893762044618,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-219.44216461167528,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.09621561490783,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.13646218695874,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.872311685205045,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.7540635109181,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-175.08998705135642,"{0: 13, 1: 6, 2: 8, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-240.50800739404417,"{0: 6, 1: 2, 2: 8, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-163.40438361382883,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-165.92288275462306,"{0: 13, 1: 3, 2: 4, 3: 4, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.34894203954056,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-130.25903330963231,"{0: 15, 1: 4, 2: 9, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-96.3688355626426,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-103.57721721285974,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-87.24005280244123,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-54.96575259412936,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-240.47267356071433,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-223.93109559993164,"{0: 14, 1: 3, 2: 8, 3: 3, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-20.29031881118377,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.79939400146332,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
